frame,detections,latency_ms,fps_instant,fps_avg
173,0,552.4,1.8,61.6
174,0,552.5,1.8,61.7
175,0,551.7,1.8,61.7
176,0,551.2,1.8,61.7
177,0,549.5,1.8,61.7
178,0,548.4,1.8,61.7
179,0,547.6,1.8,61.8
180,0,547.5,1.8,61.8
181,0,556.5,1.8,61.6
182,0,557.5,1.8,61.6
183,0,556.9,1.8,61.6
184,0,550.0,1.8,61.7
185,0,549.6,1.8,61.6
186,0,549.7,1.8,61.7
187,0,549.7,1.8,61.7
188,0,550.3,1.8,61.6
189,0,549.7,1.8,61.6
190,0,547.9,1.8,61.7
191,0,549.1,1.8,61.7
192,0,548.0,1.8,61.7
193,0,550.0,1.8,61.6
194,0,548.3,1.8,61.6
195,0,547.3,1.8,61.6
196,0,545.2,1.8,61.6
197,0,544.6,1.8,61.7
198,0,544.7,1.8,61.7
199,0,546.8,1.8,61.7
200,0,548.2,1.8,61.6
201,0,546.7,1.8,61.7
202,0,545.6,1.8,61.7
203,0,543.5,1.8,61.7
204,0,544.1,1.8,61.7
205,0,546.1,1.8,61.6
206,0,546.7,1.8,61.6
207,0,546.4,1.8,61.6
208,0,546.4,1.8,61.7
209,0,547.2,1.8,61.7
210,0,546.8,1.8,61.7
211,0,555.0,1.8,61.6
212,0,556.2,1.8,61.6
213,0,556.6,1.8,61.6
214,0,548.3,1.8,61.6
215,0,549.2,1.8,61.6
216,0,549.0,1.8,61.6
217,0,549.6,1.8,61.6
218,0,551.2,1.8,61.6
219,0,550.7,1.8,61.6
220,0,551.1,1.8,61.6
221,0,551.4,1.8,61.6
222,0,550.0,1.8,61.6
223,0,550.2,1.8,61.6
224,0,549.5,1.8,61.6
225,0,549.0,1.8,61.6
226,0,546.0,1.8,61.6
227,0,545.4,1.8,61.6
228,0,545.9,1.8,61.6
229,0,546.8,1.8,61.6
230,0,547.5,1.8,61.6
231,0,547.7,1.8,61.6
232,0,548.3,1.8,61.6
233,0,546.6,1.8,61.7
234,0,546.4,1.8,61.7
235,0,546.3,1.8,61.7
236,0,545.9,1.8,61.7
237,0,545.7,1.8,61.7
238,0,544.1,1.8,61.7
239,0,543.1,1.8,61.7
240,0,542.3,1.8,61.7
241,0,550.0,1.8,61.6
242,0,549.7,1.8,61.6
243,0,550.5,1.8,61.6
244,0,543.3,1.8,61.6
245,0,544.8,1.8,61.6
246,0,546.1,1.8,61.6
247,0,546.7,1.8,61.6
248,0,546.2,1.8,61.6
249,0,549.4,1.8,61.6
250,0,548.6,1.8,61.6
251,0,548.4,1.8,61.6
252,0,547.4,1.8,61.6
253,0,549.8,1.8,61.5
254,0,548.0,1.8,61.6
255,0,548.0,1.8,61.6
256,0,548.2,1.8,61.6
257,0,547.0,1.8,61.6
258,0,546.2,1.8,61.6
259,0,545.4,1.8,61.6
260,0,544.7,1.8,61.7
261,0,544.1,1.8,61.7
262,0,543.5,1.8,61.7
263,0,542.3,1.8,61.7
264,0,542.4,1.8,61.7
265,0,543.5,1.8,61.7
266,0,542.7,1.8,61.7
267,0,543.4,1.8,61.7
